objectid,title,date,object_location,date-is-approximate?,creator,recipient,description,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,display_template,object_location,image_small,image_thumb
coll000,North Carolina College for Women in pictures,1920,https://digital.ncdcr.gov/Documents/Detail/north-carolina-college-for-women-in-pictures/3690445,,,,A brief brochure about the College for Women at Greensboro,,North Carolina College for Women--Pictorial works; Universities and colleges--North Carolina--Pictorial works,Greensboro; Guilford County; North Carolina,,,,,North Carolina State Documents Collection. State Library of North Carolina,,,pubs_2227882_nccollege_0001.tif-pubs_2227882_nccollege_0100.tif,State Document see https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Text;Image,image/jpeg,English,,,https://digital.ncdcr.gov/Documents/Detail/north-carolina-college-for-women-in-pictures/3690445,/objects/small/00nccollegepictures_sm.jpg,/objects/small/00nccollegepictures_sm.jpg
coll001,Pictorial review to acquaint the people of North Carolina more fully with their College for Women at Greensboro,1932,https://digital.ncdcr.gov/Documents/Detail/pictorial-review-to-acquaint-the-people-of-north-carolina-more-fully-with-their-college-for-women-at-greensboro/3690317,,,,A brief brochure about the College for Women at Greensboro,,North Carolina College for Women--Pictorial works; Universities and colleges--North Carolina--Pictorial works,Greensboro; Guilford County; North Carolina,,,,,North Carolina State Documents Collection. State Library of North Carolina,,,pubs_16938117_pictorial_0001.tif-pubs_16938117_pictorial_0036.tif,State Document see https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Text;Image,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/pictorial-review-to-acquaint-the-people-of-north-carolina-more-fully-with-their-college-for-women-at-greensboro/3690317,/objects/small/01pictorialreview_sm.jpg,/objects/small/01pictorialreview_sm.jpg
coll002,Women and the law : a handbook for North Carolina,1975,https://digital.ncdcr.gov/Documents/Detail/women-and-the-law-a-handbook-for-north-carolina/3690446,,University of North Carolina at Chapel Hill. Women in Law.,,This handbook details different aspects of the law relating to women's rights,,"Women--Legal status, laws, etc.--North Carolina",North Carolina,,,,,North Carolina State Documents Collection. State Library of North Carolina,,,pubs_2223008_women1975,State Document see https://digital.ncdcr.gov/about#copyright-and-use-restrictions-simple-rich-text-area,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Text,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/women-and-the-law-a-handbook-for-north-carolina/3690446,/objects/small/02womenandthelaw_sm.jpg,/objects/small/02womenandthelaw_sm.jpg
coll003,Women of distinction : remarkable in works and invincible in character,1893,https://digital.ncdcr.gov/Documents/Detail/women-of-distinction-remarkable-in-works-and-invincible-in-character/501508,,"Scruggs, L. A. (Lawson Andrew), 1857-1914.",,A collection of short biographies of impactful African American women.,,African American women--Biography; African Americans--Biography; North Caroliniana;  Women--Biography,North Carolina,,,,,General Collection. State Library of North Carolina,,,gen_spc_womendistinctionremarkable1893.pdf,Public Domain,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Text,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/women-of-distinction-remarkable-in-works-and-invincible-in-character/501508,/objects/small/03womenofdistinction_sm.jpg,/objects/small/03womenofdistinction_sm.jpg
coll004,Flora MacDonald : a history and a message,1916,https://digital.ncdcr.gov/Documents/Detail/flora-macdonald-a-history-and-a-message/5525013?item=5525873,,"MacDonald, James A.",,A brief history of the life of Flora Macdonald. Includes mention of Flora Macdonald College.,,"Flora Macdonald College (Red Springs, N.C.)--History; MacDonald, Flora, 1722--1790;Scotland--History--18th century; Women heroes--Scotland--Biography",Red Springs; Robeson County; North Carolina,,,,,General Collection. State Library of North Carolina,,,gen_1550567_flora1916,Public Domain,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Text,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/flora-macdonald-a-history-and-a-message/5525013?item=5525873,/objects/small/04floramacdonald_sm.jpg,/objects/small/04floramacdonald_sm.jpg
coll005,Busy North Carolina women,1931,https://digital.ncdcr.gov/Documents/Detail/busy-north-carolina-women/501119,,"Walker, Harriette Hammer.",,"A 1931 publication featuring short biographical sketches of about 50 notable North Carolina women, including the wife of governor Max Gardner, civic leaders, politicians, clergy, artists, etc. Author's autograph on fly-leaf.",,Minorities--North Carolina; Women--North Carolina; Women--North Carolina--Biography;,North Carolina,,,,,General Collection. State Library of North Carolina,,,gen_busyncwomen_0001.TIF-gen_busyncwomen_0163.TIF,Public Domain,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Text,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/busy-north-carolina-women/501119,/objects/small/05busywomen_sm.jpg,/objects/small/05busywomen_sm.jpg
coll006,Admission of women to the University,1923,https://digital.ncdcr.gov/Documents/Detail/admission-of-women-to-the-university/3690333,,"Chase, Harry Woodburn, 1883-1955.",,The president of the University of North Carolina's statement's regarding the admission of woment to the University.,,Coeducation--North Carolina; University of North Carolina (1793--1962)--Admission; Women--Education--North Carolina,Chapel Hill; Orange County; North Carolina,,,,,North Carolina State Documents Collection. State Library of North Carolina,,,pubs_17539301_admission1923_0001.tif-pubs_17539301_admission1923_0016.tif,State Document,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Text,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/admission-of-women-to-the-university/3690333,/objects/small/06womensadmissionuniv_sm.jpg,/objects/small/06univwomenadmission_sm.jpg
coll007,Our State,2007-03,https://digital.ncdcr.gov/Documents/Detail/our-state/1107229,,,,Volume 74 number 10 (March 2007),,"African American radio broadcasters--North Carolina--Charlotte; Art therapy; Burwell School (Hillsborough, N.C.)--History;  Burwell, Margaret Anna Robertson, 1810--1871; Capehart, Noyes, 1933--; Clawson, Addie, 1911--1964; Cleaning compounds industry--North Carolina--Mayodan; Enslaved persons' writings, American; Feezor, Betty, 1925--1978; Feldspar; Finger painting; Franklin (N.C.)--Description and travel;  Home demonstration work; Home economics, Rural; Jacobs, Harriet A. (Harriet Ann), 1813--1897; Kephart, Horace, 1862--1931; King, Margaret Belva Mizelle, 1918--2004; Leeper, Hattie; Letter carriers--North Carolina--Watauga County; Macon County (N.C.)--Description and travel; McKimmon, Jane Simpson, 1867--1957; Mica mines and mining--North Carolina, Western; Military nursing--United States--History--20th century; Museums--North Carolina--Hickory; Museums--North Carolina--Newton; North Carolina--Periodicals; Painters--North Carolina--Boone; Shaw, Ruth Faison, 1888--1968; Soap trade--North Carolina--Mayodan; Trails--North Carolina--Raleigh; Turlington, Ethel, d. 1977; Women dancers; Women farmers--North Carolina--Johnston County;  Women novelists; Women poets;   Women sculptors; Women slaves--North Carolina--Edenton--Biography; Women television personalities--Charlotte ",North Carolina,,,,,Periodicals Collection. State Library of North Carolina,,,gen_serial_ourstate200703_0001.jp2-gen_serial_ourstate200703_0244.jp2,Copyrighted Material,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Text,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/our-state/1107229,/objects/small/07ourstate_0307_sm.jpg,/objects/small/07ourstate_0307_sm.jpg
coll008,State,1944-01-01,https://digital.ncdcr.gov/Documents/Detail/state/955762,,,,"Volume 11, number 31 (January 1, 1944)",,"North Carolina--History--American Revolutionary;War, 1775--1783--Women; North Carolina--Periodicals; Surry County (N.C.)--Industry and agriculture; Tryon County (N.C.)--History; Women in war",North Carolina,,,,,Periodicals Collection. State Library of North Carolina,,,gen_serial_ourstate19440101_0001.jp2-gen_serial_ourstate19440101_0036.jp2,Copyrighted Material,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Text,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/state/955762,/objects/small/08state_0144_sm.jpg,/objects/small/08state_0144_sm.jpg
coll009,Our State,2003-09,https://digital.ncdcr.gov/Documents/Detail/our-state/1081624,,,,"Volume 71, number 4 (September 2003)",,Edenton (N.C.)--Description and travel; Judaculla Rock (N.C.); Monuments; North Carolina--Periodicals; Southern Pines (N.C.)--Description and travel; Statues--North Carolina--Raleigh; Women in war,North Carolina,,,,,Periodicals Collection. State Library of North Carolina,,,gen_serial_ourstate200309_0001.jp2-gen_serial_ourstate200309_0198.jp2,Copyrighted Material,"Users are responsible for determining the legal status of and securing any permissions necessary to distribute, reproduce, or make other use of this item.",Text,application/pdf,English,,,https://digital.ncdcr.gov/Documents/Detail/our-state/1081624,/objects/small/09ourstate_0903_sm.jpg,/objects/small/09ourstate_0903_sm.jpg
